id,event_uei,name,reduction_key,clear_key,event_type,enterprise_id,vendor
116,http://uei.opennms.org/vendor/Novell/Groupwise/traps/ngwovvmStopTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.922.2.2.1,Novell
117,http://uei.opennms.org/vendor/Novell/Groupwise/traps/ngwsnadsFgnLinkTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.922.2.42.1,Novell
118,http://uei.opennms.org/vendor/Novell/Groupwise/traps/ngwsnadsGroupWiseLinkTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.922.2.42.1,Novell
119,http://uei.opennms.org/vendor/Novell/Groupwise/traps/ngwsnadsRestartTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.922.2.42.1,Novell
120,http://uei.opennms.org/vendor/Novell/Groupwise/traps/ngwsnadsStartTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.922.2.42.1,Novell
121,http://uei.opennms.org/vendor/Novell/Groupwise/traps/ngwsnadsStopTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.922.2.42.1,Novell
122,http://uei.opennms.org/vendor/Novell/Groupwise/traps/ngwx400GroupWiseLinkTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.922.2.4.1,Novell
123,http://uei.opennms.org/vendor/Novell/Groupwise/traps/ngwx400RestartTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.922.2.4.1,Novell
124,http://uei.opennms.org/vendor/Novell/Groupwise/traps/ngwx400StartTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.922.2.4.1,Novell
125,http://uei.opennms.org/vendor/Novell/Groupwise/traps/ngwx400StopTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.922.2.4.1,Novell
126,http://uei.opennms.org/vendor/Novell/Groupwise/traps/poaShutdownTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.38.3,Novell
127,http://uei.opennms.org/vendor/Novell/Groupwise/traps/poaStartTrap,,,,SNMP_TRAP,.1.3.6.1.4.1.23.2.38.3,Novell
128,uei.k5systems.com/analysis/inBounds,,%uei%:%dpname%:%nodeid%,uei.k5systems.com/analysis/outOfBounds:%dpname%:%nodeid%,SNMP_TRAP,,
129,uei.k5systems.com/analysis/outOfBounds,,%uei%:%dpname%:%nodeid%,,SNMP_TRAP,,
130,uei.opennms.org/IETF/ATMForum/traps/imaFailureAlarm,,,,SNMP_TRAP,.1.3.6.1.4.1.353.5.7.1.2,IETF/ATMForum
131,uei.opennms.org/IETF/Bridge/traps/newRoot,,%uei%:%dpname%:%nodeid%,,SNMP_TRAP,.1.3.6.1.2.1.17,IETF/Bridge
132,uei.opennms.org/IETF/Bridge/traps/topologyChange,,%uei%:%dpname%:%nodeid%,,SNMP_TRAP,.1.3.6.1.2.1.17,IETF/Bridge
133,uei.opennms.org/IETF/DLSW/traps/dlswTrapCircuitDown,,%uei%:%dpname%:%nodeid%:%parm[#1]%:%parm[#2]%:%parm[#3]%:%parm[#4]%,,SNMP_TRAP,.1.3.6.1.2.1.46.1,IETF/DLSW
134,uei.opennms.org/IETF/DLSW/traps/dlswTrapCircuitUp,,%uei%:%dpname%:%nodeid%:%parm[#1]%:%parm[#2]%:%parm[#3]%:%parm[#4]%,uei.opennms.org/IETF/DLSW/traps/dlswTrapcircuitDown:%dpname%:%nodeid%:%parm[#1]%:%parm[#2]%:%parm[#3]%:%parm[#4]%,SNMP_TRAP,.1.3.6.1.2.1.46.1,IETF/DLSW
135,uei.opennms.org/IETF/DLSW/traps/dlswTrapTConnDown,,%uei%:%dpname%:%nodeid%:%parm[#1]%:%parm[#2]%,,SNMP_TRAP,.1.3.6.1.2.1.46.1,IETF/DLSW
136,uei.opennms.org/IETF/DLSW/traps/dlswTrapTConnPartnerReject,,%uei%:%dpname%:%nodeid%:%parm[#1]%:%parm[#2]%,,SNMP_TRAP,.1.3.6.1.2.1.46.1,IETF/DLSW
137,uei.opennms.org/IETF/DLSW/traps/dlswTrapTConnProtViolation,,%uei%:%dpname%:%nodeid%:%parm[#1]%:%parm[#2]%,,SNMP_TRAP,.1.3.6.1.2.1.46.1,IETF/DLSW
138,uei.opennms.org/IETF/DLSW/traps/dlswTrapTConnUp,,%uei%:%dpname%:%nodeid%:%parm[#1]%:%parm[#2]%,uei.opennms.org/IETF/DLSW/traps/dlswTrapTConnDown:%dpname%:%nodeid%:%parm[#1]%:%parm[#2]%,SNMP_TRAP,.1.3.6.1.2.1.46.1,IETF/DLSW
139,uei.opennms.org/IETF/DOCSIS/traps/docsDevCmBPKMTrap,,,,SNMP_TRAP,.1.3.6.1.2.1.69.2.1.2,IETF/DOCSIS
140,uei.opennms.org/IETF/DOCSIS/traps/docsDevCmBpiInitTrap,,,,SNMP_TRAP,.1.3.6.1.2.1.69.2.1.2,IETF/DOCSIS
